File,Data,Algo,Size,Fun,Leaf,Param,ETst,TstTime,FunEvalTime
iris_27_2020_11_22_07_48_34_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,194,67,126,260,0.966666667,0,0
iris_27_2020_11_22_07_48_34_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,194,67,126,260,0.966666667,0,0
iris_27_2020_11_22_07_48_34_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,194,67,126,260,0.966666667,0,0
iris_28_2020_11_23_05_19_31_best_test_optPRM_adagrad_model.json,iris,_adagrad_,169,57,111,225,0.966666667,0,0
iris_28_2020_11_23_05_19_31_best_test_optPRM_adam_model.json,iris,_adam_,169,57,111,225,1,0,0
iris_28_2020_11_23_05_19_31_best_test_optPRM_gd_model.json,iris,_gd_,169,57,111,225,0.933333333,0,0
iris_28_2020_11_23_05_19_31_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,169,57,111,225,1,0,0
iris_28_2020_11_23_05_19_31_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,169,57,111,225,1,0.001,3.33E-05
iris_28_2020_11_23_05_19_31_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,169,57,111,225,1,0,0
iris_29_2020_11_22_09_36_21_best_test_optPRM_adagrad_model.json,iris,_adagrad_,385,121,263,505,1,0.001,3.33E-05
iris_29_2020_11_22_09_36_21_best_test_optPRM_adam_model.json,iris,_adam_,385,121,263,505,1,0.001,3.33E-05
iris_29_2020_11_22_09_36_21_best_test_optPRM_gd_model.json,iris,_gd_,385,121,263,505,1,0.001,3.33E-05
iris_29_2020_11_22_09_36_21_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,385,121,263,505,1,0.001,3.33E-05
iris_29_2020_11_22_09_36_21_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,385,121,263,505,1,0,0
iris_29_2020_11_22_09_36_21_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,385,121,263,505,1,0.001,3.33E-05
