data,Sample1,param,G_rmsprop_,G_adagrad_,G_nesterov_accelerated_gd_,G_momentum_gd_,G_gd_,G_adam_,M_Adagrad,M_Adam,M_MGD,M_NAG,M_RMSprop,M_SGD
wine,_adagrad_,t-stat,0.6703690574030654,,1.5501835548438845,1.991907618840598,3.610275129048218,4.0427065746254796,-1.9670392274192454,-2.8816429484796857,-2.9137450640450826,-3.0433341296067202,-1.6324402546089056,-2.485895067227945
wine,_adagrad_,p-val,0.2526463516347811,,0.06330750796208665,0.02555194315795489,0.0003601347709763877,7.942739740491531e-05,0.027495291628214766,0.003083844341511909,0.0028697371802936605,0.001961209952942059,0.05441780532536573,0.008280856377609645
wine,_adagrad_,dof,58.0,,57.0,58.0,49.0,58.0,48.0,43.0,41.0,44.0,50.0,47.0
vehicle,_rmsprop_,t-stat,,1.0005736138138979,0.8807149253723802,0.5754721781731111,2.7278595063174147,6.338718962601759,-9.169474842372933,-1.2882745609802928,-2.437554183945765,-4.512347452934543,-7.160377305980039,-13.085433368508008
vehicle,_rmsprop_,p-val,,0.1606272992006281,0.1910535950980351,0.28360036111991327,0.0042682064188325364,1.8722150788927e-08,3.343794847463007e-12,0.10139980461310252,0.009810068946167354,1.9892465322074853e-05,2.123073660247629e-09,3.054676253908659e-16
vehicle,_rmsprop_,dof,,57.0,58.0,58.0,55.0,58.0,45.0,58.0,38.0,49.0,48.0,39.0
glass,_rmsprop_,t-stat,,3.432179441923622,1.7401674013174655,1.8853303680809579,4.000831533261813,3.1653921582397047,-1.0312468025383443,1.720452701940109,-0.38900105867224627,-0.8932333955096116,-2.2320708942793455,-1.350753531851688
glass,_rmsprop_,p-val,,0.0005720187084054078,0.04359338754196004,0.032283417345152374,9.137015362146336e-05,0.001241878824277585,0.15345226938368864,0.04543279137998042,0.34935073392999483,0.188002915807073,0.01484607736324056,0.09113643338743853
glass,_rmsprop_,dof,,55.0,57.0,56.0,57.0,57.0,55.0,56.0,58.0,50.0,55.0,55.0
baseball,_adagrad_,t-stat,1.1543803448024659,,1.6157162986162623,1.6050827944875208,6.071164088115218,4.1133507521587935,-2.6808884785092513,3.8241711721799274,2.539616936593718,-0.08467927401245537,2.5897196936413747,-1.5258065022280876
baseball,_adagrad_,p-val,0.12704731468803482,,0.056550195547397535,0.05771128418024012,1.1038792065210316e-07,7.967323505627015e-05,0.0052079408855178295,0.00032139469329167355,0.008107727715360755,0.46642140442156504,0.007433341244106245,0.06687154807716401
baseball,_adagrad_,dof,48.0,,45.0,45.0,46.0,46.0,42.0,29.0,32.0,52.0,29.0,47.0
dee,_adagrad_,t-stat,0.6676526651839252,,1.2980196001107307,1.3230535605597558,2.639116890635494,4.755439942451911,-0.2976053884457392,52.81431839511752,-2.0448921066969312,-0.9512509104895842,3.831698068628939,-0.06800171157811445
dee,_adagrad_,p-val,0.25378191577189296,,0.1003185817603209,0.09612811909587711,0.005601264887893916,1.247285849115063e-05,0.38361068391385444,6.5402737225896485e-31,0.02292393742847419,0.17296126780678467,0.00031513524402347463,0.4730208742005125
dee,_adagrad_,dof,48.0,,47.0,47.0,48.0,41.0,51.0,29.0,53.0,52.0,29.0,53.0
diabetese,_adagrad_,t-stat,1.887319963262361,,1.5757505952847408,1.7376547964474207,4.788612250364638,5.620768048422919,-0.9945387397847401,14.998529406086682,0.4942163336587025,1.9726976707834016,4.05081181785497,-1.0826002839279296
diabetese,_adagrad_,p-val,0.03338814863391149,,0.061715481090308055,0.04519360583633764,1.4261737118413585e-05,1.0560143058733687e-06,0.16332746198572218,1.39257648687955e-15,0.3117328291018631,0.027279814174468047,0.00017361441791951225,0.1430639079961066
diabetese,_adagrad_,dof,38.0,,38.0,38.0,36.0,37.0,36.0,29.0,47.0,46.0,29.0,37.0
friedman,_adagrad_,t-stat,1.8967051897379723,,0.053919076888461585,0.25970026714034966,3.5064805412466393,5.576591773130748,0.725877055567142,65.27457009982736,-7.4719377545150865,-7.781941197612475,4.753199303515592,-3.8576418015217575
friedman,_adagrad_,p-val,0.031715256959630275,,0.47860313852842673,0.39806181587803274,0.0005075190389953978,1.027386943258228e-06,0.23680961326272737,1.942408794405308e-34,2.559855445904933e-08,1.392911734741536e-08,2.5105735774357132e-05,0.0002638933595484732
friedman,_adagrad_,dof,52.0,,52.0,52.0,47.0,39.0,30.0,30.0,27.0,26.0,29.0,32.0
mpg6,_adagrad_,t-stat,0.3747615388062083,,0.12917163842526744,0.1492393883788111,2.7363389945173235,3.030989209042477,0.5924968747545776,12.270043081262932,0.43202946817178844,-0.08264392260297171,4.158409223333312,0.5696666685846439
mpg6,_adagrad_,p-val,0.3547668120850488,,0.4488854968834572,0.4410011026526802,0.004648390138889865,0.002398181844740316,0.2783573521269436,2.613566730735795e-13,0.3337380871918274,0.4672493432819932,0.00012986211799349422,0.28586893809661
mpg6,_adagrad_,dof,47.0,,47.0,47.0,39.0,32.0,42.0,29.0,53.0,45.0,29.0,45.0
