data,algo,tttest_stat,tttest_p_val,tttest_p_val_Bon,tttest_p_val_Benjamin,tttest_p_val_Holm,wilcoxon_stat,wilcoxon_p_val,wilcoxon_p_val_Bon,wilcoxon_p_val_Benjamin,wilcoxon_p_val_Holm,ks_2samp_stat,ks_2samp_p_val,ks_2samp_p_val_Bon,ks_2samp_p_val_Benjamin,ks_2samp_p_val_Holm
wine,GP,1.136872529,0.260266833,1,0.433778055,1,36.5,0.093218792,0.932187917,0.133169702,0.405747082,0.333333333,0.070887988,0.708879879,0.101268554,0.354439939
wine,SGD,2.550790545,0.013409232,0.134092325,0.033523081,0.093864627,35,0.004569226,0.045692257,0.015230752,0.036553806,0.6,2.37E-05,0.000236649,7.89E-05,0.000189319
wine,RMSprop,7.27E-07,0.999999423,1,0.999999449,1,28,0.209107923,1,0.232342136,0.418215845,0.233333333,0.392945014,1,0.436605571,0.785890028
wine,NBC,2.60481303,0.011658461,0.116584609,0.033523081,0.093267687,28,0.011009199,0.110091987,0.027522997,0.077064391,0.5,0.000899578,0.008995777,0.002248944,0.006297044
vehicle,NAG,-9.780429317,7.02E-14,7.02E-13,2.34E-13,5.62E-13,4,2.60E-06,2.60E-05,6.50E-06,1.88E-05,0.866666667,8.25E-12,8.25E-11,2.06E-11,6.60E-11
vehicle,MGD,-9.339686908,3.67E-13,3.67E-12,9.16E-13,2.57E-12,3,2.35E-06,2.35E-05,6.50E-06,1.88E-05,0.866666667,8.25E-12,8.25E-11,2.06E-11,6.60E-11
vehicle,Adam,-7.102679946,1.97E-09,1.97E-08,3.28E-09,9.85E-09,9,4.28E-06,4.28E-05,8.56E-06,2.57E-05,0.7,2.50E-07,2.50E-06,4.17E-07,1.25E-06
vehicle,Adagrad,22.9876701,7.97E-31,7.97E-30,3.98E-30,7.17E-30,0,1.73E-06,1.73E-05,6.50E-06,1.73E-05,1,1.69E-17,1.69E-16,8.46E-17,1.69E-16
vehicle,DT,3.871462822,0.000277071,0.00277071,0.000307857,0.000554142,69,0.000767993,0.007679927,0.000853325,0.001535985,0.533333333,0.000293341,0.002933405,0.000325934,0.000586681
vehicle,SVM,-1.145280555,0.256796821,1,0.256796821,0.256796821,145,0.290326714,1,0.290326714,0.290326714,0.2,0.59407063,1,0.59407063,0.59407063
vehicle,GP,-8.373049529,1.46E-11,1.46E-10,2.91E-11,8.74E-11,13,6.33E-06,6.33E-05,1.05E-05,3.16E-05,0.833333333,9.24E-11,9.24E-10,1.85E-10,5.54E-10
vehicle,SGD,-5.390847949,1.34E-06,1.34E-05,1.92E-06,5.37E-06,33,4.07E-05,0.000406769,5.09E-05,0.000162708,0.633333333,5.80E-06,5.80E-05,8.28E-06,2.32E-05
vehicle,RMSprop,-5.132800544,3.47E-06,3.47E-05,4.33E-06,1.04E-05,33,4.07E-05,0.00040696,5.09E-05,0.000162708,0.6,2.37E-05,0.000236649,2.96E-05,7.10E-05
vehicle,NBC,28.51013707,8.21E-36,8.21E-35,8.21E-35,8.21E-35,0,1.73E-06,1.73E-05,6.50E-06,1.73E-05,1,1.69E-17,1.69E-16,8.46E-17,1.69E-16
glass,NAG,4.394654826,4.79E-05,0.000478699,5.98E-05,0.00014361,46,0.000125057,0.001250568,0.000156321,0.000387946,0.533333333,0.000293341,0.002933405,0.000366676,0.000880022
glass,MGD,5.061968907,4.49E-06,4.49E-05,6.41E-06,1.79E-05,43,9.70E-05,0.000969866,0.000138552,0.000387946,0.6,2.37E-05,0.000236649,3.38E-05,9.47E-05
glass,Adam,5.148727026,3.27E-06,3.27E-05,5.45E-06,1.64E-05,34,4.44E-05,0.000444314,7.41E-05,0.000222157,0.633333333,5.80E-06,5.80E-05,9.66E-06,2.90E-05
glass,Adagrad,21.79939488,1.26E-29,1.26E-28,1.26E-28,1.26E-28,0,1.73E-06,1.73E-05,8.66E-06,1.73E-05,1,1.69E-17,1.69E-16,1.69E-16,1.69E-16
glass,DT,2.036002011,0.046325947,0.46325947,0.046325947,0.068077762,130,0.096039534,0.960395335,0.096039534,0.096039534,0.333333333,0.070887988,0.708879879,0.078764431,0.141775976
glass,SVM,8.852417641,2.33E-12,2.33E-11,7.75E-12,1.86E-11,6,3.15E-06,3.15E-05,1.05E-05,2.52E-05,0.766666667,6.53E-09,6.53E-08,2.18E-08,5.22E-08
