Experiment,mean_r2_all,std_r2_all,mean_prm_all,std_prm_all,mean_r2_cls,std_r2_cls,mean_prm_cls,std_prm_cls,mean_r2_reg,std_r2_reg,mean_prm_reg,std_prm_reg
M-S-ES-50-Rg-No-G,0.8232264103285718,0.1418430462757535,1637.9285714285713,876.8688162434005,0.867388143981481,0.12004055490864371,1969.5555555555557,888.3099668887282,0.7437352897533331,0.14376143543446096,1041.0,423.789234686585
M-S-ES-50-Rg-No-lr-A,0.6345244977904754,0.215110192480961,1637.9285714285713,876.8688162433999,0.7190031623888886,0.1962830403439749,1969.5555555555557,888.3099668887285,0.4824629015133331,0.15606439969120392,1041.0,423.7892346865853
M-S-ES-50-Rg-No-lr-D,0.8307216338380962,0.142155801126371,1637.9285714285713,876.8688162433999,0.8634963017407397,0.11575732452522808,1969.5555555555557,888.3099668887285,0.7717272316133332,0.1648805081997966,1041.0,423.7892346865853
M-S-ES-50-Rg-No-lr-M,0.8212476393285714,0.14220140938066655,1637.9285714285713,876.8688162433999,0.8679463902740735,0.11729984445617624,1969.5555555555557,888.3099668887285,0.7371898876266667,0.1447700344592906,1041.0,423.7892346865853
M-S-ES-50-Rg-No-lr-N,0.8195851043904763,0.1411175412549605,1637.9285714285713,876.8688162433999,0.8675732421185186,0.11492116121301627,1969.5555555555557,888.3099668887285,0.7332064564800002,0.1430825809827485,1041.0,423.7892346865853
M-S-ES-50-Rg-No-lr-R,0.8175280067523815,0.14393836678125077,1637.9285714285713,876.8688162433999,0.8536669408444443,0.12363153012764966,1969.5555555555557,888.3099668887285,0.7524779253866666,0.15504915813933753,1041.0,423.7892346865853
M-S-ES-50-Rg-No-lr-G,0.8045695094809522,0.1411557942411982,1637.9285714285713,876.8688162433999,0.853766784603703,0.11742921589536182,1969.5555555555557,888.3099668887285,0.7160144142599998,0.13731237068506974,1041.0,423.7892346865853
M-S-ES-No-Rg-No-lr-A,0.6391944656333336,0.22137100902464987,1637.9285714285713,876.8688162434006,0.7279251716629628,0.20202609918365036,1969.5555555555557,888.3099668887287,0.4794791947799999,0.1554802430763045,1041.0,423.78923468658513
M-S-ES-No-Rg-No-lr-D,0.8174931122119045,0.15262584118249925,1637.9285714285713,876.8688162434006,0.8556184371814809,0.11395682459431253,1969.5555555555557,888.3099668887287,0.7488675272666667,0.1862434043926748,1041.0,423.78923468658513
M-S-ES-No-Rg-No-lr-M,0.8067850972380953,0.14930018662192843,1637.9285714285713,876.8688162434006,0.8521715153296293,0.11294834607422517,1969.5555555555557,888.3099668887287,0.7250895446733336,0.1708783549797641,1041.0,423.78923468658513
M-S-ES-No-Rg-No-lr-N,0.8075475369047613,0.14752149737406609,1637.9285714285713,876.8688162434006,0.8541011141518519,0.11102992652975505,1969.5555555555557,888.3099668887287,0.7237510978599999,0.1671706850673009,1041.0,423.78923468658513
M-S-ES-No-Rg-No-lr-R,0.815064993933332,0.14389313239245738,1637.9285714285713,876.8688162434006,0.8539604750518519,0.10902701289476205,1969.5555555555557,888.3099668887287,0.74505312792,0.17055374837397316,1041.0,423.78923468658513
M-S-ES-No-Rg-No-lr-G,0.799889746407142,0.14687153829871993,1637.9285714285713,876.8688162434006,0.8515587886962958,0.12052340554750503,1969.5555555555557,888.3099668887287,0.7068854702866669,0.14453356796133526,1041.0,423.78923468658513
M-S-ES-No-Rg-No-A,0.8113169266285714,0.1368563147385384,1637.9285714285713,876.8688162434006,0.8574306128740729,0.11071534603164318,1969.5555555555557,888.3099668887287,0.7283122913866661,0.1405344308712062,1041.0,423.78923468658513
M-S-ES-No-Rg-No-D,-0.9833381973261897,3.0465698627276305,1637.9285714285713,876.8688162434006,0.7920255243703698,0.1507392584387292,1969.5555555555557,888.3099668887287,-4.1789928963800005,3.1728972644525584,1041.0,423.78923468658513
M-S-ES-No-Rg-No-M,0.7704504388571431,0.1807981329302644,1637.9285714285713,876.8688162434006,0.7912140275333329,0.16566884485654845,1969.5555555555557,888.3099668887287,0.7330759792400003,0.20045764526549376,1041.0,423.78923468658513
M-S-ES-No-Rg-No-N,0.7688074289547622,0.2017596305307532,1637.9285714285713,876.8688162434006,0.7975544529962956,0.15473573037899221,1969.5555555555557,888.3099668887287,0.71706278568,0.25894407667435254,1041.0,423.78923468658513
