exp,data,algo,error_trn,error_tst,corr_trn,corr_tst,r2_trn,r2_tst,tree_size,func_node,leaf_node,train_param,compute_time,problem
MLP_relu_ES_No_Reg_No_npy,australian,SGD,0.03442031145095825,0.14492756128311157,,,0.9655796885490417,0.8550724387168884,,,,1702,0.0003134392309879911,class
MLP_relu_ES_No_Reg_No_npy,australian,MGD,0.5507246255874634,0.5724637806415558,,,0.4492753744125366,0.4275362193584442,,,,1702,0.0003281641697538072,class
MLP_relu_ES_No_Reg_No_npy,australian,NAG,0.5507246255874634,0.5724637806415558,,,0.4492753744125366,0.4275362193584442,,,,1702,0.0003001067949377972,class
MLP_relu_ES_No_Reg_No_npy,australian,RMSprop,0.15760868787765503,0.19565218687057495,,,0.842391312122345,0.804347813129425,,,,1702,0.00042144889416901964,class
MLP_relu_ES_No_Reg_No_npy,australian,Adam,0.4384058117866516,0.47101449966430664,,,0.5615941882133484,0.5289855003356934,,,,1702,0.0003041098083274952,class
MLP_relu_ES_No_Reg_No_npy,australian,Adagrad,0.009057998657226562,0.1521739363670349,,,0.9909420013427734,0.8478260636329651,,,,1702,0.0003499850846719051,class
MLP_relu_ES_No_Reg_No_npy,australian,SGD,0.030797123908996582,0.18115943670272827,,,0.9692028760910034,0.8188405632972717,,,,1702,0.002028925263363382,class
MLP_relu_ES_No_Reg_No_npy,australian,MGD,0.4384058117866516,0.47101449966430664,,,0.5615941882133484,0.5289855003356934,,,,1702,0.00034269172212351924,class
MLP_relu_ES_No_Reg_No_npy,australian,NAG,0.4384058117866516,0.47101449966430664,,,0.5615941882133484,0.5289855003356934,,,,1702,0.0005165234855983568,class
MLP_relu_ES_No_Reg_No_npy,australian,RMSprop,0.13224637508392334,0.1884058117866516,,,0.8677536249160767,0.8115941882133484,,,,1702,0.000359731307928113,class
MLP_relu_ES_No_Reg_No_npy,australian,Adam,0.1413043737411499,0.17391306161880493,,,0.8586956262588501,0.8260869383811951,,,,1702,0.00037363646686940956,class
MLP_relu_ES_No_Reg_No_npy,australian,Adagrad,0.016304373741149902,0.2246376872062683,,,0.9836956262588501,0.7753623127937317,,,,1702,0.0003573497136433919,class
MLP_relu_ES_No_Reg_No_npy,australian,SGD,0.05434781312942505,0.21739131212234497,,,0.945652186870575,0.782608687877655,,,,1702,0.00033621252446934796,class
MLP_relu_ES_No_Reg_No_npy,australian,MGD,0.44384056329727173,0.4492753744125366,,,0.5561594367027283,0.5507246255874634,,,,1702,0.00034908583198768503,class
MLP_relu_ES_No_Reg_No_npy,australian,NAG,0.5561594069004059,0.54347825050354,,,0.4438405930995941,0.45652174949645996,,,,1702,0.0003604828447535418,class
MLP_relu_ES_No_Reg_No_npy,australian,RMSprop,0.17028987407684326,0.15942031145095825,,,0.8297101259231567,0.8405796885490417,,,,1702,0.00030779406644295955,class
MLP_relu_ES_No_Reg_No_npy,australian,Adam,0.25,0.21014493703842163,,,0.75,0.7898550629615784,,,,1702,0.0003546787344891092,class
MLP_relu_ES_No_Reg_No_npy,australian,Adagrad,0.01449275016784668,0.1304348111152649,,,0.9855072498321533,0.8695651888847351,,,,1702,0.00031145845634349877,class
MLP_relu_ES_No_Reg_No_npy,australian,SGD,0.04710143804550171,0.12318837642669678,,,0.9528985619544983,0.8768116235733032,,,,1702,0.0003515732461127682,class
MLP_relu_ES_No_Reg_No_npy,australian,MGD,0.46739131212234497,0.3550724387168884,,,0.532608687877655,0.6449275612831116,,,,1702,0.0003244479497273763,class
MLP_relu_ES_No_Reg_No_npy,australian,NAG,0.532608687877655,0.6449275314807892,,,0.46739131212234497,0.3550724685192108,,,,1702,0.000373580749484076,class
MLP_relu_ES_No_Reg_No_npy,australian,RMSprop,0.12318837642669678,0.1884058117866516,,,0.8768116235733032,0.8115941882133484,,,,1702,0.0003130302049111629,class
MLP_relu_ES_No_Reg_No_npy,australian,Adam,0.10507243871688843,0.15942031145095825,,,0.8949275612831116,0.8405796885490417,,,,1702,0.0003332029218259065,class
MLP_relu_ES_No_Reg_No_npy,australian,Adagrad,0.012681186199188232,0.18115943670272827,,,0.9873188138008118,0.8188405632972717,,,,1702,0.00030970055124034053,class
MLP_relu_ES_No_Reg_No_npy,australian,SGD,0.027173936367034912,0.19565218687057495,,,0.9728260636329651,0.804347813129425,,,,1702,0.0002998048844544784,class
MLP_relu_ES_No_Reg_No_npy,australian,MGD,0.43115943670272827,0.5,,,0.5688405632972717,0.5,,,,1702,0.0003034079420393792,class
MLP_relu_ES_No_Reg_No_npy,australian,NAG,0.5688405930995941,0.5,,,0.4311594069004059,0.5,,,,1702,0.0003637986770574597,class
MLP_relu_ES_No_Reg_No_npy,australian,RMSprop,0.13949275016784668,0.1666666865348816,,,0.8605072498321533,0.8333333134651184,,,,1702,0.00033355666243511695,class
MLP_relu_ES_No_Reg_No_npy,australian,Adam,0.5579710006713867,0.54347825050354,,,0.4420289993286133,0.45652174949645996,,,,1702,0.0003596725671187691,class
MLP_relu_ES_No_Reg_No_npy,australian,Adagrad,0.019927561283111572,0.18115943670272827,,,0.9800724387168884,0.8188405632972717,,,,1702,0.0003741828427798506,class
MLP_relu_ES_No_Reg_No_npy,australian,SGD,0.0362318754196167,0.19565218687057495,,,0.9637681245803833,0.804347813129425,,,,1702,0.00036185288774794424,class
MLP_relu_ES_No_Reg_No_npy,australian,MGD,0.4420289993286133,0.45652174949645996,,,0.5579710006713867,0.54347825050354,,,,1702,0.0003091762031334034,class
MLP_relu_ES_No_Reg_No_npy,australian,NAG,0.4420289993286133,0.45652174949645996,,,0.5579710006713867,0.54347825050354,,,,1702,0.00031828059666398644,class
MLP_relu_ES_No_Reg_No_npy,australian,RMSprop,0.10144925117492676,0.17391306161880493,,,0.8985507488250732,0.8260869383811951,,,,1702,0.0003504964752473693,class
MLP_relu_ES_No_Reg_No_npy,australian,Adam,0.37137681245803833,0.3695651888847351,,,0.6286231875419617,0.6304348111152649,,,,1702,0.0003205149070076321,class
MLP_relu_ES_No_Reg_No_npy,australian,Adagrad,0.012681186199188232,0.1884058117866516,,,0.9873188138008118,0.8115941882133484,,,,1702,0.0003169546092765919,class
MLP_relu_ES_No_Reg_No_npy,australian,SGD,0.03804349899291992,0.1884058117866516,,,0.9619565010070801,0.8115941882133484,,,,1702,0.00033985488656638324,class
MLP_relu_ES_No_Reg_No_npy,australian,MGD,0.45471012592315674,0.4057971239089966,,,0.5452898740768433,0.5942028760910034,,,,1702,0.0003108062605926956,class
MLP_relu_ES_No_Reg_No_npy,australian,NAG,0.5452898442745209,0.5942029058933258,,,0.4547101557254791,0.4057970941066742,,,,1702,0.0003195599369380785,class
MLP_relu_ES_No_Reg_No_npy,australian,RMSprop,0.15398550033569336,0.12318837642669678,,,0.8460144996643066,0.8768116235733032,,,,1702,0.0003256460894709048,class
MLP_relu_ES_No_Reg_No_npy,australian,Adam,0.5652174055576324,0.5144927501678467,,,0.43478259444236755,0.4855072498321533,,,,1702,0.00029548959455628324,class
MLP_relu_ES_No_Reg_No_npy,australian,Adagrad,0.012681186199188232,0.13768118619918823,,,0.9873188138008118,0.8623188138008118,,,,1702,0.00032982791679492897,class
MLP_relu_ES_No_Reg_No_npy,australian,SGD,0.03985506296157837,0.18115943670272827,,,0.9601449370384216,0.8188405632972717,,,,1702,0.0002958960291268169,class
MLP_relu_ES_No_Reg_No_npy,australian,MGD,0.43478262424468994,0.4855072498321533,,,0.5652173757553101,0.5144927501678467,,,,1702,0.0003085680629896081,class
MLP_relu_ES_No_Reg_No_npy,australian,NAG,0.5652174055576324,0.5144927501678467,,,0.43478259444236755,0.4855072498321533,,,,1702,0.00030701661455458486,class
MLP_relu_ES_No_Reg_No_npy,australian,RMSprop,0.11413043737411499,0.15942031145095825,,,0.885869562625885,0.8405796885490417,,,,1702,0.000369654617447784,class
MLP_relu_ES_No_Reg_No_npy,australian,Adam,0.44021737575531006,0.4637681245803833,,,0.5597826242446899,0.5362318754196167,,,,1702,0.00037271777788798016,class
MLP_relu_ES_No_Reg_No_npy,australian,Adagrad,0.01449275016784668,0.19565218687057495,,,0.9855072498321533,0.804347813129425,,,,1702,0.0003101825714111328,class
MLP_relu_ES_No_Reg_No_npy,australian,SGD,0.03804349899291992,0.21014493703842163,,,0.9619565010070801,0.7898550629615784,,,,1702,0.0003331817578578341,class
