index,Problem,Data,Algo,AccTst,Param
726,class,australian,NAG,0.8768116235733032,1702
727,reg,dee,NAG,0.8112203721415474,801
728,class,glass,RMSprop,0.7906976938247681,1606
729,class,wisconsin,RMSprop,0.9649122953414917,3302
730,class,pima,RMSprop,0.7077922224998474,1102
731,reg,baseball,RMSprop,0.3266048787451643,1801
732,reg,friedman,RMSprop,0.7591579937821427,701
733,reg,diabetese,RMSprop,-5.6650998315556045,1201
734,class,heart,RMSprop,0.7962962985038757,1602
735,class,iris,RMSprop,1.0,803
736,reg,mpg6,RMSprop,-10.717616740772085,701
737,reg,dee,RMSprop,0.7594788457865413,801
738,class,wine,RMSprop,0.9722222089767456,1703
739,class,vehicle,RMSprop,0.8058823347091675,2304
740,class,australian,RMSprop,0.8405796885490417,1702
741,class,ionosphere,RMSprop,0.9014084339141846,3602
742,reg,dee,SGD,0.8193314375849097,801
743,class,ionosphere,SGD,0.9295774698257446,3602
744,class,vehicle,SGD,0.8764705657958984,2304
745,reg,baseball,SGD,0.7895734397958293,1801
746,class,pima,SGD,0.7142857313156128,1102
747,class,glass,SGD,0.7441860437393188,1606
748,reg,mpg6,SGD,0.8325994602973965,701
749,reg,diabetese,SGD,0.5562392850576114,1201
750,class,wine,SGD,1.0,1703
751,class,wisconsin,SGD,0.9736841917037964,3302
752,class,heart,SGD,0.7222222089767456,1602
753,class,iris,SGD,0.9666666388511658,803
754,class,australian,SGD,0.8260869383811951,1702
755,reg,friedman,SGD,0.8211424590213365,701
756,class,glass,Adagrad,0.7209302186965942,1606
757,class,wine,Adagrad,1.0,1703
758,reg,dee,Adagrad,0.8270517956156065,801
759,class,iris,Adagrad,0.9666666388511658,803
760,class,wisconsin,Adagrad,0.9824561476707458,3302
761,class,heart,Adagrad,0.7407407164573669,1602
762,reg,friedman,Adagrad,0.7958680955378719,701
763,class,vehicle,Adagrad,0.7823529243469238,2304
764,class,pima,Adagrad,0.7662337422370911,1102
765,class,australian,Adagrad,0.8478260636329651,1702
766,class,ionosphere,Adagrad,0.9718309640884399,3602
767,reg,diabetese,Adagrad,0.5332581425658812,1201
768,reg,mpg6,Adagrad,0.8207037905287742,701
769,reg,baseball,Adagrad,0.7065031640369915,1801
770,reg,baseball,Adam,-0.8575463858291559,1801
771,reg,mpg6,Adam,-3.327389356971083,701
772,class,ionosphere,Adam,0.28169015049934387,3602
773,reg,dee,Adam,-4.86892882338907,801
774,reg,friedman,Adam,-8.12198005400392,701
775,class,iris,Adam,0.9666666388511658,803
776,class,wine,Adam,1.0,1703
777,class,australian,Adam,0.7681159377098083,1702
778,reg,diabetese,Adam,-2.999038811171954,1201
779,class,vehicle,Adam,0.7411764860153198,2304
780,class,heart,Adam,0.7777777910232544,1602
781,class,pima,Adam,0.7727272510528564,1102
782,class,glass,Adam,0.5813953280448914,1606
783,class,wisconsin,Adam,0.9561403393745422,3302
784,class,pima,MGD,0.6883116960525513,1102
785,reg,dee,MGD,0.8595452982611984,801
786,reg,mpg6,MGD,0.9000036969154626,701
787,class,wisconsin,MGD,0.9385964870452881,3302
788,reg,baseball,MGD,0.5547279213732909,1801
789,class,iris,MGD,0.9666666388511658,803
790,reg,friedman,MGD,0.9517953927722603,701
791,class,wine,MGD,1.0,1703
792,class,glass,MGD,0.604651153087616,1606
793,class,ionosphere,MGD,0.7464788556098938,3602
794,class,australian,MGD,0.8260869383811951,1702
795,reg,diabetese,MGD,0.5651263573622478,1201
796,class,heart,MGD,0.8148148059844971,1602
797,class,vehicle,MGD,0.8588235378265381,2304
798,reg,baseball,NAG,0.6506932166221959,1801
799,reg,friedman,NAG,0.9509946266224285,701
800,reg,diabetese,NAG,0.4936124511694471,1201
801,class,glass,NAG,0.7209302186965942,1606
802,class,pima,NAG,0.7207792401313782,1102
803,class,heart,NAG,0.8148148059844971,1602
804,reg,mpg6,NAG,0.8905792176338656,701
805,class,wine,NAG,1.0,1703
806,class,iris,NAG,1.0,803
807,class,australian,NAG,0.8478260636329651,1702
808,class,ionosphere,NAG,0.3380281627178192,3602
809,class,vehicle,NAG,0.8294117450714111,2304
810,reg,dee,NAG,0.8663858938281889,801
811,class,wisconsin,NAG,0.9649122953414917,3302
812,class,ionosphere,RMSprop,0.9577465057373047,3602
813,class,pima,RMSprop,0.6688311696052551,1102
814,class,wisconsin,RMSprop,0.8684210777282715,3302
815,class,wine,RMSprop,0.8888888955116272,1703
816,class,iris,RMSprop,0.9666666388511658,803
817,reg,mpg6,RMSprop,0.8292140733548543,701
818,class,heart,RMSprop,0.7222222089767456,1602
819,reg,diabetese,RMSprop,-6.476980775358311,1201
820,reg,dee,RMSprop,0.7309721535134415,801
821,class,australian,RMSprop,0.8333333134651184,1702
822,class,glass,RMSprop,0.5348837375640869,1606
823,reg,friedman,RMSprop,0.8197820716907331,701
824,class,vehicle,RMSprop,0.7529411911964417,2304
825,reg,baseball,RMSprop,0.6005892110579973,1801
826,class,heart,SGD,0.8333333134651184,1602
827,reg,friedman,SGD,0.9092552373548306,701
828,reg,dee,SGD,0.8311669051467097,801
829,class,ionosphere,SGD,0.9436619877815247,3602
830,class,iris,SGD,0.9666666388511658,803
831,reg,mpg6,SGD,0.8782666725015964,701
832,reg,diabetese,SGD,0.4762203765089029,1201
833,class,vehicle,SGD,0.8764705657958984,2304
834,reg,baseball,SGD,0.6829984697707538,1801
835,class,wisconsin,SGD,0.9561403393745422,3302
836,class,glass,SGD,0.6976743936538696,1606
837,class,pima,SGD,0.798701286315918,1102
838,class,wine,SGD,0.8888888955116272,1703
839,class,australian,SGD,0.7681159377098083,1702
840,reg,friedman,Adagrad,0.8018628981415489,701
841,class,australian,Adagrad,0.8840579986572266,1702
842,reg,diabetese,Adagrad,0.3791007160316344,1201
843,reg,dee,Adagrad,0.8075440678019974,801
844,class,ionosphere,Adagrad,0.9154929518699646,3602
845,reg,mpg6,Adagrad,0.871596888493362,701
846,class,glass,Adagrad,0.6976743936538696,1606
847,class,wine,Adagrad,1.0,1703
848,class,heart,Adagrad,0.8148148059844971,1602
849,class,wisconsin,Adagrad,1.0,3302
850,class,iris,Adagrad,0.9666666388511658,803
851,class,pima,Adagrad,0.7402597665786743,1102
852,reg,baseball,Adagrad,0.8117641840825323,1801
853,class,vehicle,Adagrad,0.7352941036224365,2304
854,class,wisconsin,Adam,0.9473684430122375,3302
855,reg,mpg6,Adam,-4.611771292410768,701
856,class,pima,Adam,0.6168830990791321,1102
857,reg,friedman,Adam,-7.234688077230535,701
858,class,vehicle,Adam,0.4588235318660736,2304
859,class,australian,Adam,0.7753623127937317,1702
860,class,wine,Adam,0.9722222089767456,1703
861,class,heart,Adam,0.7962962985038757,1602
862,reg,dee,Adam,-5.139514787397657,801
863,reg,baseball,Adam,-0.738330718146335,1801
864,class,glass,Adam,0.5581395626068115,1606
865,class,ionosphere,Adam,0.6056337952613831,3602
866,class,iris,Adam,1.0,803
867,reg,diabetese,Adam,-2.9613509925270027,1201
868,reg,baseball,MGD,0.6364914354253137,1801
869,class,iris,MGD,1.0,803
870,class,australian,MGD,0.782608687877655,1702
871,class,glass,MGD,0.7209302186965942,1606
872,reg,mpg6,MGD,0.872828810010367,701
873,class,wine,MGD,1.0,1703
874,class,heart,MGD,0.7777777910232544,1602
875,class,wisconsin,MGD,0.9649122953414917,3302
